Fecha de inicio,Contacto: Id. de contacto,Tipo de Evento,ID del Evento,Experiencia General,Duracion,Calidad de Alimentos,Interaccion con exalumnos,Interaccion con profesores
44119,0034100000zgUIE,Tec 360,EVN-0192863,5,4,4,4,5
44119,0034100001BEYSm,Tec 360,EVN-0192863,4,4,4,4,4
44265,0034100002LDhZh,Tec 360,EVN-0205033,4,4,4,5,5
44119,0034100001BDHQi,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001pkk8X,Tec 360,EVN-0192863,5,4,4,4,4
44119,00341000012hGRS,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001ZTfG7,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001I4LMO,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100000yigJe,Tec 360,EVN-0192863,4,4,5,5,4
44119,0034100001fpxz9,Tec 360,EVN-0192863,5,4,4,4,4
44119,00341000012gcLd,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001LnBSN,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001L2mqR,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001rdRZR,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100000yigFq,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001JuhMn,Tec 360,EVN-0192863,5,4,4,5,5
44119,0034100001ZQVkx,Tec 360,EVN-0192863,5,4,4,4,5
44119,0034100001I4LKh,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001BDqjx,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100000zgFLH,Tec 360,EVN-0192863,5,4,4,4,5
44119,0034100001uSKPb,Tec 360,EVN-0192863,5,4,4,4,5
44119,0034100001Cnz0d,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001BEYIj,Tec 360,EVN-0192863,5,4,4,5,4
44119,00341000019Hy92,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001lhM5o,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001L2mqv,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001J5cjp,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001PXNNe,Tec 360,EVN-0192863,5,4,4,5,4
44119,003410000157Snt,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001L2mou,Tec 360,EVN-0192863,5,4,4,5,4
44265,0034100002Q75hy,Tec 360,EVN-0205033,5,4,4,4,4
44119,003410000157PYM,Tec 360,EVN-0192863,5,4,3,4,4
44119,0034100001MnkdW,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001J5G6k,Tec 360,EVN-0192863,5,4,4,4,4
44119,00341000019HbaC,Tec 360,EVN-0192863,5,4,5,5,4
44265,0034100002NEkLh,Tec 360,EVN-0205033,5,4,3,5,4
44265,0034100002NEkN9,Tec 360,EVN-0205033,5,4,4,4,5
44265,0032M00002bt6NQ,Tec 360,EVN-0205033,4,4,4,5,4
44265,0034100002Q76g4,Tec 360,EVN-0205033,5,4,4,4,4
44265,0032M00002XmNqt,Tec 360,EVN-0205033,4,4,4,4,5
44265,0034100002SXAa6,Tec 360,EVN-0205033,4,4,4,5,4
44119,0034100001ZQVks,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001hCOfI,Tec 360,EVN-0192863,4,4,4,4,4
44119,003410000157R0F,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001ASwXC,Tec 360,EVN-0192863,5,4,4,5,4
44119,003410000157POy,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100000s5ppB,Tec 360,EVN-0192863,4,4,4,4,4
44119,003410000157QPx,Tec 360,EVN-0192863,5,4,4,5,3
44119,00341000018wrJw,Tec 360,EVN-0192863,4,4,5,5,4
44119,00341000019HVB9,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001NG6Ps,Tec 360,EVN-0192863,5,4,4,4,4
44119,00341000018vsOU,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001ZQVmF,Tec 360,EVN-0192863,5,4,4,5,5
44119,00341000015LWNx,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100002NElKN,Tec 360,EVN-0192863,5,4,4,5,5
44119,0034100001mmig4,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100000ygleS,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001LmJOK,Tec 360,EVN-0192863,5,4,4,5,4
44119,0033f0000042ed2,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100000zfu11,Tec 360,EVN-0192863,4,4,4,5,5
44119,0034100001Cl6c1,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100002SX5Ei,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001I4tgy,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001JrYKZ,Tec 360,EVN-0192863,5,4,4,4,4
44119,00341000015LW7z,Tec 360,EVN-0192863,4,4,4,5,4
44119,00341000019HUtZ,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100000yh7lX,Tec 360,EVN-0192863,5,4,4,4,4
44119,003410000157P7z,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001fnZyc,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100000yhSXe,Tec 360,EVN-0192863,5,4,4,5,4
44119,00341000022uqyu,Tec 360,EVN-0192863,5,4,4,4,5
44119,00341000018uAxW,Tec 360,EVN-0192863,5,4,4,5,4
44119,00341000018ws6I,Tec 360,EVN-0192863,5,4,4,5,4
44265,0034100002SYgrB,Tec 360,EVN-0205033,4,4,4,5,4
44265,0034100002SYoH3,Tec 360,EVN-0205033,5,4,4,5,5
44265,0034100002UDld3,Tec 360,EVN-0205033,5,4,4,5,5
44119,0034100001MndWy,Tec 360,EVN-0192863,4,4,4,4,4
44265,0034100002Q4R2z,Tec 360,EVN-0205033,5,4,4,4,4
44265,0034100002Q7TGL,Tec 360,EVN-0205033,4,4,5,4,5
44265,0034100002UGKRA,Tec 360,EVN-0205033,4,4,5,5,4
44119,00341000012fuVO,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001pkK3f,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100000zeYNC,Tec 360,EVN-0192863,4,4,4,5,4
44265,0034100002Xr6rh,Tec 360,EVN-0205033,4,4,4,4,5
44119,0034100000s5pQB,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001FbFrA,Tec 360,EVN-0192863,4,4,4,4,4
44265,0034100002SZTcg,Tec 360,EVN-0205033,5,4,4,5,4
44265,0034100002UChlc,Tec 360,EVN-0205033,5,4,3,4,4
44265,0034100002Q6wTU,Tec 360,EVN-0205033,4,4,4,4,4
44265,0032M00002YSsmO,Tec 360,EVN-0205033,5,4,4,4,5
44265,0034100002Q8JKT,Tec 360,EVN-0205033,4,4,4,4,4
44265,0034100002Q853U,Tec 360,EVN-0205033,5,4,4,5,4
44265,0034100002Q6BQg,Tec 360,EVN-0205033,4,4,4,4,4
44265,0034100002SXSnY,Tec 360,EVN-0205033,4,4,4,5,5
44119,0034100000zfNhP,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100000yi0eH,Tec 360,EVN-0192863,4,4,3,4,5
44119,0034100001AUTLm,Tec 360,EVN-0192863,5,4,3,4,4
44119,0034100000zfnF6,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100000yigFl,Tec 360,EVN-0192863,5,4,4,5,5
44119,0034100001exwdR,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100000ygtXo,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001FbGhh,Tec 360,EVN-0192863,4,4,4,4,4
44119,00341000018TGZW,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100000yhWu8,Tec 360,EVN-0192863,4,4,4,4,5
44119,0034100001exoov,Tec 360,EVN-0192863,4,4,4,4,3
44119,0034100001JuXqF,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001fnzfi,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001FdrLl,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100000zfu58,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001FdQ2c,Tec 360,EVN-0192863,4,4,3,4,4
44119,0034100000yimhb,Tec 360,EVN-0192863,4,4,4,5,5
44119,0034100001I4Lxo,Tec 360,EVN-0192863,5,4,4,5,4
44119,0033f000004i1Eo,Tec 360,EVN-0192863,5,4,4,5,4
44119,00341000012gE6q,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001FbGVK,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100000yiAx3,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001BFpML,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100000yim9f,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001NsTCV,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001FbqOE,Tec 360,EVN-0192863,5,4,4,4,4
44119,00341000019HV0a,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001eBlQm,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001mmj2y,Tec 360,EVN-0192863,4,4,4,5,4
44119,00341000027lZLE,Tec 360,EVN-0192863,4,4,4,5,4
44119,003410000157W6B,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001LmUFC,Tec 360,EVN-0192863,5,4,4,4,4
44119,003410000157Tmh,Tec 360,EVN-0192863,4,4,4,5,4
44119,003410000157SfQ,Tec 360,EVN-0192863,4,4,5,4,4
44119,0034100001MnjpG,Tec 360,EVN-0192863,5,4,4,4,4
44119,003410000157NV3,Tec 360,EVN-0192863,5,4,5,5,4
44119,00341000015JqAq,Tec 360,EVN-0192863,4,4,4,4,4
44119,00341000012hOpr,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001etsES,Tec 360,EVN-0192863,4,4,4,5,5
44119,0034100001LlOvH,Tec 360,EVN-0192863,5,4,4,4,4
44119,00341000018tqMr,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001eBjFO,Tec 360,EVN-0192863,5,4,4,5,4
44119,00341000019IGUF,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001LnE15,Tec 360,EVN-0192863,5,4,4,5,4
44119,00341000012gjC8,Tec 360,EVN-0192863,4,4,4,5,4
44119,0032M00002b0Fqc,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001rdVGn,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001FeHjb,Tec 360,EVN-0192863,5,4,4,4,4
44119,00341000015JpqZ,Tec 360,EVN-0192863,5,4,5,5,4
44119,0034100000yj9V7,Tec 360,EVN-0192863,5,4,4,4,5
44119,0034100001J5cr5,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001I4tqF,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100000vbgQK,Tec 360,EVN-0192863,4,4,4,4,4
44119,0032M00002d5EgG,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001Ju7zv,Tec 360,EVN-0192863,4,4,4,5,5
44119,0034100001xFtvq,Tec 360,EVN-0192863,5,4,4,5,5
44119,0034100001Co1sY,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001I3bap,Tec 360,EVN-0192863,4,4,4,5,5
44119,0034100001kErJO,Tec 360,EVN-0192863,5,4,5,5,4
44119,00341000021LYqJ,Tec 360,EVN-0192863,5,4,4,5,4
44119,003410000157NC6,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100002A2416,Tec 360,EVN-0192863,5,4,4,5,5
44119,0034100001Clzfe,Tec 360,EVN-0192863,4,4,4,4,5
44119,0034100001I4Lmb,Tec 360,EVN-0192863,5,4,4,5,4
44119,003410000157NbN,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100000ygldt,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100000zfJCD,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001gHgCr,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001FbG7I,Tec 360,EVN-0192863,5,4,3,5,4
44119,00341000019HVFp,Tec 360,EVN-0192863,4,4,5,4,4
44119,003410000157QWj,Tec 360,EVN-0192863,4,4,4,5,4
44119,00341000026oAbt,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001NIO21,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001FbGG6,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001JuhQp,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001WqG0R,Tec 360,EVN-0192863,4,4,4,4,5
44119,003410000157ScH,Tec 360,EVN-0192863,5,4,4,5,5
44119,0034100000zeW10,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001LmvRI,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001I3bPX,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001JrYBX,Tec 360,EVN-0192863,5,4,4,5,4
44119,00341000012gE2y,Tec 360,EVN-0192863,4,4,3,4,4
44119,0034100001VJkaA,Tec 360,EVN-0192863,5,4,4,5,5
44119,00341000018tZOi,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001cQI81,Tec 360,EVN-0192863,4,4,4,4,4
44119,00341000012gDxe,Tec 360,EVN-0192863,4,4,5,5,4
44119,0034100001rdDjB,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001ohDoT,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001MmpYO,Tec 360,EVN-0192863,5,4,4,5,5
44119,00341000012fBAh,Tec 360,EVN-0192863,4,4,4,5,5
44119,0034100001I2Szo,Tec 360,EVN-0192863,4,4,5,5,4
44119,0034100001JtTkJ,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001AS3Dp,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001LmRKE,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100000zftzj,Tec 360,EVN-0192863,5,4,4,5,5
44119,003410000157TMG,Tec 360,EVN-0192863,4,4,4,4,5
44119,0034100001PVpRW,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100002UFd8P,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100000yhbEd,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100002Q582g,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001Cl6W4,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001NHjq0,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001CkgSs,Tec 360,EVN-0192863,4,4,4,4,4
44119,00341000015LWAQ,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001yw4ai,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100000yir8a,Tec 360,EVN-0192863,5,4,4,4,4
44119,00341000018TF06,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100000tj1pB,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100000zf69o,Tec 360,EVN-0192863,4,4,4,5,4
44119,00341000012goYb,Tec 360,EVN-0192863,4,4,4,5,5
44119,0034100001Jse5X,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100000yggna,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001I4tzM,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100000zgIps,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001dTGeA,Tec 360,EVN-0192863,5,4,4,4,5
44119,0034100001AVo7s,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001TL1iL,Tec 360,EVN-0192863,4,4,4,5,4
44119,0033f000002Vt8X,Tec 360,EVN-0192863,4,4,4,5,4
44119,0032M00002YWDph,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100000yfsdU,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001fmt9H,Tec 360,EVN-0192863,4,4,5,5,4
44119,0034100001NqjGQ,Tec 360,EVN-0192863,5,4,4,5,5
44119,0034100001Fd1MR,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001BDHRH,Tec 360,EVN-0192863,4,4,4,4,5
44119,003410000157Mim,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001FbG65,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001OLLLs,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100000tiqSL,Tec 360,EVN-0192863,5,4,4,5,4
44119,00341000015LWyU,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001P0eZ9,Tec 360,EVN-0192863,5,4,4,5,4
44119,003410000157Rwv,Tec 360,EVN-0192863,5,4,4,4,5
44119,0034100001TLJlB,Tec 360,EVN-0192863,5,4,4,4,4
44119,00341000012hOlu,Tec 360,EVN-0192863,5,4,4,4,5
44119,0034100001ARwZj,Tec 360,EVN-0192863,5,4,3,4,4
44119,0034100001AUtJM,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001Fd1Dn,Tec 360,EVN-0192863,5,4,4,5,4
44119,003410000157V8O,Tec 360,EVN-0192863,5,4,4,5,3
44119,0034100001Lo4sk,Tec 360,EVN-0192863,5,4,5,5,4
44119,00341000019HVo7,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001Lleo0,Tec 360,EVN-0192863,4,4,4,5,4
44119,003410000157Qhx,Tec 360,EVN-0192863,4,4,4,5,4
44119,003410000157PP7,Tec 360,EVN-0192863,5,4,4,5,4
44119,003410000157RG7,Tec 360,EVN-0192863,5,4,4,5,4
44119,003410000157UDd,Tec 360,EVN-0192863,4,4,4,5,4
44119,003410000157Skz,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001BBzg7,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001ATKyp,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100001PVvga,Tec 360,EVN-0192863,5,4,4,5,4
44119,0034100002A28du,Tec 360,EVN-0192863,4,4,3,5,4
44119,0034100000zg44x,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001siblD,Tec 360,EVN-0192863,5,4,4,5,5
44119,0034100002DTAsj,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001pmGOs,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001Fd1lR,Tec 360,EVN-0192863,5,4,3,4,4
44119,0034100000ygwE8,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001lfbnr,Tec 360,EVN-0192863,4,4,5,5,5
44119,0034100000yirA2,Tec 360,EVN-0192863,4,4,5,4,4
44119,0034100001dH3Rv,Tec 360,EVN-0192863,4,4,4,4,5
44119,0034100000yhSXt,Tec 360,EVN-0192863,5,4,4,4,5
44119,0034100001FeGCa,Tec 360,EVN-0192863,5,4,4,4,5
44119,0034100001FeIBB,Tec 360,EVN-0192863,5,4,4,5,4
44119,00341000015Jq5k,Tec 360,EVN-0192863,5,4,4,4,4
44119,0034100001L0Yft,Tec 360,EVN-0192863,4,4,4,5,4
44119,0034100001i4DKZ,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100001ClzdE,Tec 360,EVN-0192863,4,4,4,4,4
44119,0034100000tiKpr,Tec 360,EVN-0192863,5,4,4,5,5
44119,0034100000zfu24,Tec 360,EVN-0192863,4,4,4,5,5
